"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Layout__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","AutorabitExtId__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c"
"a2H5e000000IJkcEAG","","SC-000010770","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e000000557BEAQ","1.01","LLC_BI__Collateral_Modal_Details","","","","Details","42702213649589287","LLC_BI__Loan_Collateral2__c","","","","false","","false"
"a2H5e000000IJkdEAG","","SC-000010771","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e000000557CEAQ","1.01","LLC_BI__Collateral_Valuation","","","","Collateral Valuation","42364688705520906","LLC_BI__Collateral__c","","","","false","","false"
"a2H5e000000IJkeEAG","","SC-000010772","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e000000557DEAQ","1.01","LLC_BI__Pledge_Details","","","","Pledge Details","42021803137064143","LLC_BI__Loan_Collateral2__c","","","","false","","false"
"a2H5e000000IJkfEAG","","SC-000010773","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e000000557EEAQ","1.01","LLC_BI__Collateral_Search_Results","","","","Search Results","42143434852308312","LLC_BI__Collateral__c","","","","false","","false"
"a2H5e000000IJkgEAG","","SC-000010774","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:06:18.000Z","0055e000003ZErQAAW","","","","a2F5e000000557FEAQ","1.01","Pledge_Collateral_Override","","","","","42080298160439060","LLC_BI__Loan_Collateral2__c","","","","false","","false"
"a2H5e000000IJkpEAG","","SC-000010783","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e000000557OEAQ","1.01","LLC_BI__Collateral_Modal_Details","","","","Details","42371294895782016","LLC_BI__Loan_Collateral2__c","","","","false","","false"
"a2H5e000000IJkqEAG","","SC-000010784","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e000000557PEAQ","1.01","LLC_BI__Collateral_Valuation","","","","Collateral Valuation","42757230995398009","LLC_BI__Collateral__c","","","","false","","false"
"a2H5e000000IJkrEAG","","SC-000010785","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e000000557QEAQ","1.01","LLC_BI__Pledge_Details","","","","Pledge Details","42166220978297466","LLC_BI__Loan_Collateral2__c","","","","false","","false"
"a2H5e000000IJksEAG","","SC-000010786","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e000000557REAQ","1.01","LLC_BI__Collateral_Search_Results","","","","Search Results","42957291244119398","LLC_BI__Collateral__c","","","","false","","false"
"a2H5e000000IJktEAG","","SC-000010787","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:06:18.000Z","0055e000003ZErQAAW","","","","a2F5e000000557SEAQ","1.01","Pledge_Collateral_Override","","","","","42514632499443989","LLC_BI__Loan_Collateral2__c","","","","false","","false"
"a2H5e000000IJkuEAG","","SC-000010788","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e000000557TEAQ","1.01","LLC_BI__Collateral_Modal_Details","","","","Details","42107958853547987","LLC_BI__Loan_Collateral2__c","","","","false","","false"
"a2H5e000000IJkvEAG","","SC-000010789","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e000000557UEAQ","1.01","LLC_BI__Collateral_Valuation","","","","Collateral Valuation","42569087986246965","LLC_BI__Collateral__c","","","","false","","false"
"a2H5e000000IJkwEAG","","SC-000010790","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e000000557VEAQ","1.01","LLC_BI__Pledge_Details","","","","Pledge Details","42355610245990104","LLC_BI__Loan_Collateral2__c","","","","false","","false"
"a2H5e000000IJkxEAG","","SC-000010791","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e000000557WEAQ","1.01","LLC_BI__Collateral_Search_Results","","","","Search Results","42147866350266157","LLC_BI__Collateral__c","","","","false","","false"
"a2H5e000000IJkyEAG","","SC-000010792","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:06:18.000Z","0055e000003ZErQAAW","","","","a2F5e000000557XEAQ","1.01","Pledge_Collateral_Override","","","","","42655467735706176","LLC_BI__Loan_Collateral2__c","","","","false","","false"
